"index","book_id","book_title","publication_info","author","num_ratings","num_reviews","average_rating","publication_date"
226,2666,"The Bonfire of the Vanities","First published ","Tom Wolfe",81169,3614,"3.90","1987-11-01"
227,2677,"A Modest Proposal and Other Satirical Works","First published ","Jonathan Swift",14412,214,"4.05","1729-01-01"
228,2678,"Gulliver's Travels / A Modest Proposal","First published ","Jonathan Swift",5513,67,"3.91","2005-07-26"
229,2696,"The Canterbury Tales","First published ","Geoffrey Chaucer",222519,4427,"3.52","1400-01-01"
230,2719,"The Book of Salt","First published ","Monique Truong",6220,880,"3.53","2003-04-07"
231,2722,"Cities of Salt","First published ","Abdul Rahman Munif",4488,713,"4.06","1984-01-01"
232,2723,"The Years of Rice and Salt","First published ","Kim Stanley Robinson",14293,1661,"3.76","2002-06-03"
233,2743,"The Lost Boy","First published ","Dave Pelzer",67874,3115,"4.11","1997-01-01"
234,2744,"Anansi Boys","First published ","Neil Gaiman",223230,11843,"4.04","2005-09-20"
235,2748,"Microserfs","First published ","Douglas Coupland",24184,989,"3.89","1995-01-01"
236,2761,"The Denial of Death","First published ","Ernest Becker",13275,1420,"4.09","1973-12-31"
237,2767,"A People’s History of the United States","First published ","Howard Zinn",244543,7161,"4.08","1980-01-01"
238,2784,"Ways of Seeing","First published ","John Berger",377820,2949,"3.92","1972-01-01"
239,2794,"The Crying of Lot 49","First published ","Thomas Pynchon",87225,6397,"3.69","1966-01-01"
240,2839,"Bridge to Terabithia","First published ","Katherine Paterson",548670,16531,"4.05","1977-10-21"
241,2865,"Girl with a Pearl Earring","First published ","Tracy Chevalier",738579,12585,"3.93","1999-01-01"
242,2872,"Falling Angels","First published ","Tracy Chevalier",25821,1689,"3.61","2001-01-01"
243,2873,"The Virgin Blue","First published ","Tracy Chevalier",32863,2071,"3.67","1997-01-01"
244,2880,"Bleach, Vol. 1","First published ","Tite Kubo",178542,1585,"4.26","2002-01-05"
245,2899,"The Pigeon","First published ","Patrick Süskind",19445,2223,"3.71","1987-01-01"
246,2900,"The Story of Mr Sommer","First published ","Patrick Süskind",6479,659,"3.82","1991-01-01"
247,2923,"Winterdance: The Fine Madness of Running the Iditarod","First published ","Gary Paulsen",7843,1218,"4.29","1994-03-01"
248,2932,"Robinson Crusoe","First published ","Daniel Defoe",305825,9718,"3.68","1719-04-25"
249,2956,"The Adventures of Huckleberry Finn","First published ","Mark Twain",1268383,19848,"3.83","1884-02-18"
250,2998,"The Secret Garden","First published ","Frances Hodgson Burnett",1177354,28869,"4.16","1911-08-01"
251,3008,"A Little Princess","First published ","Frances Hodgson Burnett",307094,10020,"4.22","1905-01-01"
252,3028,"Economics in One Lesson: The Shortest & Surest Way to Understand Basic Economics","First published ","Henry Hazlitt",19822,1745,"4.17","1946-01-01"
253,3040,"Black Rednecks and White Liberals","First published ","Thomas Sowell",8616,1116,"4.37","2005-04-30"
254,3049,"Sir Gawain and the Green Knight","First published ","Unknown",70746,3517,"3.76","1350-01-01"
255,3066,"The Fixer","First published ","Bernard Malamud",11357,761,"3.98","1966-01-01"
256,3077,"The Enchanted April","First published ","Elizabeth von Arnim",31375,4782,"3.91","1922-01-01"
257,3087,"A Room with a View","First published ","E.M. Forster",184848,8775,"3.90","1908-01-01"
258,3103,"Maurice","First published ","E.M. Forster",47353,4633,"4.08","1971-01-01"
